ofac_id,uk_id,explanation
11446,10449,ofac_id: 11446 has a jaccard distance of 0.030303030303030276 with uk_id: 10449 from the name column
11459,13787,ofac_id: 11459 has a jaccard distance of 0.13043478260869568 with uk_id: 13787 from the name column
11493,11052,ofac_id: 11493 has a jaccard distance of 0.0 with uk_id: 11052 from the name column
11532,10909,ofac_id: 11532 has a jaccard distance of 0.040000000000000036 with uk_id: 10909 from the name column
11533,10910,ofac_id: 11533 has a jaccard distance of 0.05882352941176472 with uk_id: 10910 from the name column
11599,10913,ofac_id: 11599 has a jaccard distance of 0.07407407407407407 with uk_id: 10913 from the name column
11743,8425,ofac_id: 11743 has a jaccard distance of 0.0 with uk_id: 8425 from the name column
11744,6995,ofac_id: 11744 has a jaccard distance of 0.0 with uk_id: 6995 from the name column
11745,11092,ofac_id: 11745 has a jaccard distance of 0.0 with uk_id: 11092 from the name column
11746,11091,ofac_id: 11746 has a jaccard distance of 0.0 with uk_id: 11091 from the name column
11747,10929,ofac_id: 11747 has a jaccard distance of 0.0 with uk_id: 10929 from the name column
11748,11093,ofac_id: 11748 has a jaccard distance of 0.0 with uk_id: 11093 from the name column
11786,11236,ofac_id: 11786 has a jaccard distance of 0.0 with uk_id: 11236 from the name column
11791,11141,ofac_id: 11791 has a jaccard distance of 0.05714285714285716 with uk_id: 11141 from the name column
11973,8736,ofac_id: 11973 has a jaccard distance of 0.2142857142857143 with uk_id: 8736 from the name column
11974,8738,ofac_id: 11974 has a jaccard distance of 0.0 with uk_id: 8738 from the name column
11975,8735,ofac_id: 11975 has a jaccard distance of 0.0 with uk_id: 8735 from the name column
11976,8734,ofac_id: 11976 has a jaccard distance of 0.18181818181818177 with uk_id: 8734 from the name column
11977,8709,ofac_id: 11977 has a jaccard distance of 0.0 with uk_id: 8709 from the name column
12022,11096,ofac_id: 12022 has a jaccard distance of 0.0 with uk_id: 11096 from the name column
12030,11209,ofac_id: 12030 has a jaccard distance of 0.05882352941176472 with uk_id: 11209 from the name column
12057,11784,ofac_id: 12057 has a jaccard distance of 0.0 with uk_id: 11784 from the name column
12057,11234,ofac_id: 12057 has a jaccard distance of 0.0 with uk_id: 11234 from the name column
12057,10439,ofac_id: 12057 has a jaccard distance of 0.0 with uk_id: 10439 from the name column
12059,11242,ofac_id: 12059 has a jaccard distance of 0.11764705882352944 with uk_id: 11242 from the name column
12060,10647,ofac_id: 12060 has a jaccard distance of 0.0 with uk_id: 10647 from the name column
12066,10638,ofac_id: 12066 has a jaccard distance of 0.0 with uk_id: 10638 from the name column
12111,13742,ofac_id: 12111 has a jaccard distance of 0.24444444444444446 with uk_id: 13742 from the name column
